Batch_ID,Manufacture_Date,Product,Reference_Period,API_Lot,API_PSD_D90_um,Compression_Force_kN,Tablet_Hardness_kp,Thickness_mm,Tablet_Weight_mg,Disintegration_min,Dissolution_30min_pct,Spec_Status
B001,2026-01-05,IR Tablet 100 mg,Historical,API-A,72,10.2,6.8,4.21,499,6.2,95,Pass
B002,2026-01-12,IR Tablet 100 mg,Historical,API-A,73,10.5,6.9,4.19,501,6.4,94,Pass
B003,2026-01-19,IR Tablet 100 mg,Historical,API-A,71,10.4,7.0,4.2,500,6.1,96,Pass
B004,2026-01-26,IR Tablet 100 mg,Historical,API-A,74,10.7,6.7,4.22,498,6.5,93,Pass
B005,2026-02-02,IR Tablet 100 mg,Historical,API-A,72,10.3,7.1,4.18,502,6.3,95,Pass
B006,2026-02-09,IR Tablet 100 mg,Historical,API-A,75,10.6,6.9,4.2,500,6.2,94,Pass
B007,2026-02-16,IR Tablet 100 mg,Historical,API-B,76,10.8,7.2,4.21,501,6.6,96,Pass
B008,2026-02-23,IR Tablet 100 mg,Historical,API-B,77,11.0,7.0,4.2,499,6.4,95,Pass
B009,2026-03-02,IR Tablet 100 mg,Historical,API-B,75,10.7,7.3,4.19,503,6.7,94,Pass
B010,2026-03-09,IR Tablet 100 mg,Historical,API-B,78,11.1,7.1,4.22,500,6.5,93,Pass
B011,2026-03-16,IR Tablet 100 mg,Historical,API-B,76,10.9,7.4,4.21,498,6.8,95,Pass
B012,2026-03-23,IR Tablet 100 mg,Historical,API-B,79,11.2,7.2,4.2,502,6.6,94,Pass
B013,2026-03-30,IR Tablet 100 mg,Historical,API-C,74,10.6,7.0,4.19,500,6.4,92,Pass
B014,2026-04-06,IR Tablet 100 mg,Historical,API-C,76,10.9,7.3,4.21,501,6.7,94,Pass
B015,2026-04-13,IR Tablet 100 mg,Historical,API-C,75,11.0,7.2,4.2,499,6.6,93,Pass
B016,2026-04-20,IR Tablet 100 mg,Historical,API-C,77,11.3,7.5,4.22,503,6.9,95,Pass
B017,2026-04-27,IR Tablet 100 mg,Historical,API-C,78,11.1,7.4,4.2,500,6.8,92,Pass
B018,2026-05-04,IR Tablet 100 mg,Historical,API-C,76,11.4,7.3,4.21,502,6.7,93,Pass
B019,2026-05-11,IR Tablet 100 mg,Monitoring,API-D,90,12.5,8.0,4.2,501,7.4,90,Pass
B020,2026-05-18,IR Tablet 100 mg,Monitoring,API-D,91,12.7,8.3,4.19,500,7.8,88,Pass
B021,2026-05-25,IR Tablet 100 mg,Monitoring,API-D,90,12.9,8.5,4.21,502,8.1,86,Pass
B022,2026-06-01,IR Tablet 100 mg,Monitoring,API-D,92,13.0,8.7,4.2,499,8.5,84,Pass
B023,2026-06-08,IR Tablet 100 mg,Monitoring,API-D,91,13.2,9.0,4.22,501,8.9,83,Pass
B024,2026-06-15,IR Tablet 100 mg,Monitoring,API-D,92,13.3,9.2,4.21,500,9.2,82,Pass
